t_mean,flux_bgsub
992632976.0747061,5.436824423494032e-16
992632987.891875,2.8328582004778345e-16
992632998.8035716,1.4861096750191963e-16
992633007.1225001,1.7816299113214982e-16
992633016.5394444,2.959037191652537e-16
992633026.898,3.3575764859130296e-16
992633038.6989286,2.4778191466394255e-16
992633047.7372222,3.2011778244775657e-16
992633056.6854545,1.0648482573717718e-16
992633066.1894444,1.17367007959007e-16
992633076.6292858,-8.154602126001326e-17
992633086.407,4.309438959704517e-17
992633096.8593334,2.6301390798210746e-16
992633104.519375,2.2322668576873735e-16
992633118.9295834,2.0064821340434631e-16
992633126.7626667,2.198083862607864e-16
992633135.5744444,2.454446712273782e-16
992633146.0730002,1.1432320642049657e-16
992633156.014,2.721023124984067e-16
992633167.8339287,4.545921473503932e-16
992633175.6280767,1.8790713021028145e-16
992633187.34,1.1872242024578477e-16
992633195.5094444,2.9474098582645634e-16
992633207.3043749,3.3012593222898974e-16
992633217.5896429,2.7512274662174914e-16
992633226.1589285,2.2087114547318194e-16
992633236.4114705,3.060902134678117e-16
992633247.0066669,2.0026059523188817e-16
992633256.7767648,3.2739352332588544e-16
992633267.5711765,3.158483699042487e-16
992633275.5974998,1.661830973953134e-17
992633285.7481818,3.9417267682324014e-16
992633297.151579,3.452744950040689e-16
992633306.8416667,2.9897794198399194e-16
992633316.0337499,2.1930180574535173e-16
992633327.4123528,2.15955314994746e-16
992633335.3131818,3.834568758954273e-16
992633348.3375001,2.3729089733110857e-16
992633357.1875,2.523043983813045e-16
992633368.1715626,2.0594691416208024e-16
992633377.6778572,6.321718063820603e-16
992633386.6832498,4.1319399228233576e-16
992633395.569,7.34247946147084e-17
992633406.199706,4.0158111005531814e-16
992633417.2525,2.9536778741783615e-16
992633426.4233333,2.0031838870764755e-16
992633434.9955,5.748620378507347e-17
992633447.4421428,1.589453064167712e-16
992633457.9389999,2.564670006552067e-16
992633466.9992106,3.032308288582033e-16
992633476.915769,1.7229309706103122e-16
992633488.2459999,8.613987757981353e-17
992633496.8158334,9.69746731376483e-17
992633506.9614285,2.1289764362840434e-16
992633515.09875,1.984492885522098e-16
992633528.0646429,2.554948907724668e-16
992633535.1064706,4.786318493672296e-16
992633549.0236363,3.3382224212208747e-16
992633552.5625,3.592037978086507e-16
992633567.3953125,2.979827275789708e-16
992633576.3036667,1.1164203712423025e-16
992633587.18,3.4846928929386995e-16
992633597.14125,3.592032317343927e-16
992633604.6591665,-8.326198392356495e-17
992633616.3022728,8.479610202847627e-17
992633626.4530768,1.8377070054681417e-16
992633635.5954165,1.7111644048542125e-16
992633644.3358334,4.0441046707663863e-16
992633656.7154168,5.672876945061022e-16
992633668.8795,2.8334648366350293e-16
992633676.3596427,2.329580392044995e-16
992633685.8486365,1.5699438526307857e-16
992633696.425,8.554314686996743e-17
992633707.51125,1.7076183896842144e-16
992633717.5274998,1.285081860911959e-16
992633727.6424999,1.3173792841996404e-16
992633737.3875,1.702549135797224e-16
992633747.5020833,1.2513795811815138e-16
992633756.0033334,2.292419236613753e-16
992633768.8805556,1.3046062729305679e-17
992633775.416875,3.353793686347807e-16
992633786.8243333,2.234167126129004e-16
992633795.6978571,1.9955004542446143e-16
992633807.2271429,9.689389677077564e-17
992633817.2000002,-1.842910589291969e-17
992633828.1159998,1.4196102531446185e-16
992633836.9484375,2.4276927488926836e-16
992633845.4417857,1.8824553151901458e-16
992633859.4700001,3.190536853252889e-16
992633866.1447825,4.777405695031984e-16
992633876.2805883,4.4383851717368887e-16
992633887.435,3.2876863458813243e-16
992633896.7569048,4.0743768789878446e-16
992633906.9245834,5.981272517052498e-16
992633917.6965625,3.741144563897577e-16
992633926.8408929,4.930782193853513e-16
992633936.7330261,8.264475845465243e-16
992633947.0955172,1.3109406042022463e-15
992633957.3014085,1.7625749628374166e-15
992633967.3528788,1.6776435238509958e-15
992633977.0595572,2.0404785231043667e-15
992633986.8384426,1.458863596061434e-15
992633997.2038236,1.7167691081800759e-15
992634007.212,1.0649242998514417e-15
992634016.6045945,8.970807224997358e-16
992634026.3417499,8.182064885386279e-16
992634036.8232559,1.0708518934542127e-15
992634047.7198385,7.458160835512133e-16
992634056.6199999,4.2402518111071284e-16
992634066.9948611,7.06500107680446e-16
992634077.5658108,8.693849439817803e-16
992634087.1460937,6.35164472620639e-16
992634096.7953751,1.002595754325518e-15
992634107.147162,7.864917550455087e-16
992634117.285,4.700273085820204e-16
992634127.2819229,9.390611901539386e-16
992634136.8330953,4.2229540566415503e-16
992634147.3151281,9.363525762407228e-16
992634156.7546875,6.864483158327116e-16
992634166.1572222,5.924252248509967e-16
992634176.5375757,7.685357546708018e-16
992634187.8601351,8.809033550729308e-16
992634196.6454546,7.686306713655488e-16
992634207.4298573,8.200683866997964e-16
992634217.3199999,4.554974591602021e-16
992634226.8001924,6.340179327478704e-16
992634237.5818751,7.309062406464413e-16
992634248.1035415,4.985400295238039e-16
992634255.8607693,5.901674022701978e-16
992634267.4859375,2.536576193210389e-16
992634276.6609375,7.832254307507758e-16
992634286.4287931,5.683044753816472e-16
992634297.6997727,4.48193614861288e-16
992634306.7563041,4.222453940430991e-16
992634317.0339584,5.544494149441443e-16
992634326.9014815,5.074747509675819e-16
992634337.3038712,6.652534648464911e-16
992634347.4085,3.6588390088772103e-16
992634358.1757692,1.6934475812929013e-16
992634367.1155556,5.849155840330324e-16
992634377.7755356,6.45275865208346e-16
992634386.9811537,4.701523840103227e-16
992634396.4138888,5.282469180483107e-16
992634407.1588461,5.457524248560266e-16
992634416.4942188,7.723096394116683e-16
992634427.3156819,4.1370698336609756e-16
992634436.5582255,6.662900939686701e-16
992634444.0520002,4.903296723859768e-16
992634456.1072918,5.243831401632639e-16
992634465.9624075,5.964190814266565e-16
992634476.3186206,6.387629685546015e-16
992634487.3611362,4.318163258313197e-16
992634496.4412501,7.224526625541298e-16
995915778.6457692,2.2669383627119663e-16
995915785.6036665,2.289006049536253e-16
995915796.755,3.1170911674437297e-16
995915805.2755555,2.3542278551351934e-16
995915817.5414999,4.0791862065189176e-16
995915826.8253334,3.703475913729207e-16
995915837.4857894,4.622251929266584e-16
995915847.3659999,2.0493628343583002e-16
995915857.1184784,5.826835642355524e-16
995915867.8257142,1.1366256705420074e-16
995915878.5611764,5.040608698393535e-16
995915887.6843334,2.87439496167737e-16
995915898.0277778,1.532526781727852e-16
995915906.1953332,2.829048799639022e-16
995915918.0258332,-1.5635886996629974e-17
995915927.3075001,1.0893369642467949e-16
995915937.47375,3.751222365137633e-16
995915946.5282142,1.9890817460708881e-16
995915957.6208333,4.3168454233401397e-16
995915966.4575001,1.1522674092962011e-16
995915976.7790625,3.411973272451937e-16
995915986.4072728,5.60054921260033e-16
995915996.9811537,1.2802519879452038e-16
995916006.7445835,2.6137691235935945e-16
995916016.5947728,5.010138847300072e-16
995916026.0120456,5.151672715668e-16
995916036.2440001,3.0984730341276195e-16
995916047.8979168,1.6928109965811588e-16
995916056.9973685,4.846453401509654e-16
995916066.3345833,9.644105866691081e-17
995916075.0838462,1.4760401876543923e-16
995916088.3003333,3.2838102936079033e-16
995916096.4261539,4.160644958911266e-16
995916108.3988236,4.557250870683702e-16
995916118.1538463,5.562528569030373e-16
995916128.1620001,9.9372846004786e-17
995916137.5483333,4.0484344451720436e-16
995916146.1990908,1.6596757469382596e-16
995916157.0638463,2.0411842473329174e-16
995916166.787647,3.6974724897502415e-16
995916176.9128125,3.2179815904846795e-16
995916186.1850002,2.9670310833249103e-16
995916196.415,1.918390881178604e-16
995916204.0475,3.9981178650319177e-16
995916217.1781249,1.8964356211365734e-17
995916226.495,7.563414846364589e-16
995916238.395625,2.1724421277278582e-16
995916247.3275001,7.750529827542976e-17
995916257.3069444,4.468315217903741e-16
995916265.2291666,1.313771453234721e-16
995916276.952647,3.5151023730299064e-16
995916287.2077776,1.5234265980494166e-16
995916297.2709374,3.613120346683911e-16
995916307.5985,7.032318856671889e-18
995916320.665,-4.695551300857282e-17
995916326.977381,4.50044155532953e-16
995916336.367857,2.0134955737969527e-16
995916346.2950001,4.365879507888229e-16
995916356.0205,4.865876415725674e-16
995916366.805625,2.9245482380676645e-16
995916376.578421,5.569577132345577e-16
995916385.889375,8.696361436305624e-17
995916397.7507143,5.088746721489712e-16
995916406.8035715,2.576205377212506e-16
995916418.966,3.641007152448766e-16
995916426.8595455,1.541953160100876e-16
995916437.4365386,1.4115970943235627e-16
995916446.5927778,3.6652120845107335e-16
995916456.6325,6.199497440608472e-16
995916466.7682143,3.794575870110116e-16
995916475.7028571,7.038939826884962e-16
995916488.4257143,1.0807760429157813e-16
995916496.8838462,1.169837434072639e-16
995916506.0358335,2.529477578080261e-16
995916518.7465,2.1359726116222094e-16
995916526.4468182,2.121059337164685e-16
995916537.9513637,1.9571973751358697e-16
995916548.9167858,2.962449091021266e-16
995916556.6829412,2.7500045526595533e-16
995916566.9884614,1.9922343353903415e-16
995916576.5350001,2.8241421308388557e-16
995916585.7728949,3.7724032867769916e-16
995916596.4991177,2.0312587705640893e-16
995916607.7105263,3.9922528081400293e-16
995916617.2366664,3.3099639472072506e-16
995916627.3366667,5.192589987655288e-17
995916636.9825001,2.4306026200592024e-16
995916645.695,1.331659254021793e-16
995916657.3349999,1.8028981354048907e-16
995916666.7329168,2.8598951388346277e-16
995916677.4053125,3.530829542435008e-16
995916698.4995456,3.6674199247953385e-16
995916708.7888889,2.53221326835357e-16
995916716.950238,5.118548400262313e-16
1.622393e-318,-2.707569270188509e-16
